supplier_inn,nsi_sku,qty,unit,price_rub,purchase_date,on_time,quality_score
7728168971,MET-SHV-14-3PS,8,т,51178,2025-12-15,True,0.84
7706107510,MET-SHV-14-3PS,8,т,53270,2025-12-08,False,0.89
7728010001,MET-SHV-14-3PS,8,т,52338,2025-04-18,True,0.82
7728168971,MET-ARM-A500C-12,5,т,48421,2025-04-12,False,0.86
7706107510,MET-ARM-A500C-12,5,т,47654,2025-07-17,False,0.97
7728010001,MET-ARM-A500C-12,5,т,47317,2025-10-05,True,0.76
7728168971,MET-LIST-3-09Г2С,6,т,76468,2025-06-18,True,0.91
7706107510,MET-LIST-3-09Г2С,6,т,76613,2025-02-10,True,0.93
7728010001,MET-LIST-3-09Г2С,6,т,75617,2025-08-17,True,0.94
7728168971,MET-LIST-3-3пс,4,т,71875,2025-04-27,False,0.95
7706107510,MET-LIST-3-3пс,4,т,71609,2025-07-02,False,0.87
7728010001,MET-LIST-3-3пс,4,т,72465,2025-07-03,True,0.8
7714016017,IT-LP-LENOVO-T14,5,шт,434165,2025-02-27,True,0.93
7727290101,IT-LP-LENOVO-T14,5,шт,244283,2025-01-10,False,0.91
7714016017,IT-LP-LENOVO-T16,5,шт,245534,2025-12-16,False,0.89
7727290101,IT-LP-LENOVO-T16,5,шт,183074,2025-01-09,True,0.94
7714016017,IT-SW-CISCO-9300,5,шт,675462,2025-12-20,False,0.78
7727290101,IT-SW-CISCO-9300,5,шт,402096,2025-04-10,True,0.76
7714016017,IT-SW-ELTEX-MES-3324,5,шт,540218,2025-11-26,False,0.76
7727290101,IT-SW-ELTEX-MES-3324,5,шт,624108,2025-10-18,True,0.9
7728168972,CHEM-PE-HDPE-273,15,т,103843,2025-04-23,True,0.82
7728168973,CHEM-PE-HDPE-273,15,т,85051,2025-10-12,True,0.88
7728168972,CHEM-PE-LDPE-153,15,т,91137,2025-11-22,True,0.87
7728168973,CHEM-PE-LDPE-153,15,т,96816,2025-02-17,True,0.84
7728168972,CHEM-PP-21030,15,т,100405,2025-01-21,False,0.98
7728168973,CHEM-PP-21030,15,т,93311,2025-12-01,True,0.93
7708168974,CONS-OFC-001,50,шт,3024,2025-04-24,True,0.93
7708168974,CONS-OFC-002,50,шт,2923,2025-03-02,True,0.88
7708168974,CONS-OFC-003,50,шт,1634,2025-11-15,False,0.9
7708168976,MRO-PERCH-NIB-12,30,шт,14195,2025-03-03,False,0.76
7708168976,MRO-SHRO-SF-1L,30,шт,4202,2025-01-26,True,0.95
7708168975,SVC-DELIVERY-AUTO,1,мес,60682,2025-05-17,False,0.98
7708168975,SVC-CLEAN-OFFICE-MONTH,1,мес,75588,2025-08-09,True,0.92
