sku,name,full_name,category,unit,gost,typical_price_rub,attributes
MET-SHV-10-3PS,Швеллер 10 ст3пс,Швеллер стальной горячекатаный №10 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,52000,"{""steel_grade"": ""3пс"", ""size_no"": ""10"", ""type"": ""shveller""}"
MET-SHV-12-3PS,Швеллер 12 ст3пс,Швеллер стальной горячекатаный №12 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,52400,"{""steel_grade"": ""3пс"", ""size_no"": ""12"", ""type"": ""shveller""}"
MET-SHV-14-3PS,Швеллер 14 ст3пс,Швеллер стальной горячекатаный №14 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,52800,"{""steel_grade"": ""3пс"", ""size_no"": ""14"", ""type"": ""shveller""}"
MET-SHV-16-3PS,Швеллер 16 ст3пс,Швеллер стальной горячекатаный №16 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,53200,"{""steel_grade"": ""3пс"", ""size_no"": ""16"", ""type"": ""shveller""}"
MET-SHV-18-3PS,Швеллер 18 ст3пс,Швеллер стальной горячекатаный №18 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,53600,"{""steel_grade"": ""3пс"", ""size_no"": ""18"", ""type"": ""shveller""}"
MET-SHV-20-3PS,Швеллер 20 ст3пс,Швеллер стальной горячекатаный №20 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,54000,"{""steel_grade"": ""3пс"", ""size_no"": ""20"", ""type"": ""shveller""}"
MET-SHV-22-3PS,Швеллер 22 ст3пс,Швеллер стальной горячекатаный №22 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,54400,"{""steel_grade"": ""3пс"", ""size_no"": ""22"", ""type"": ""shveller""}"
MET-SHV-24-3PS,Швеллер 24 ст3пс,Швеллер стальной горячекатаный №24 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,54800,"{""steel_grade"": ""3пс"", ""size_no"": ""24"", ""type"": ""shveller""}"
MET-SHV-27-3PS,Швеллер 27 ст3пс,Швеллер стальной горячекатаный №27 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,55400,"{""steel_grade"": ""3пс"", ""size_no"": ""27"", ""type"": ""shveller""}"
MET-SHV-30-3PS,Швеллер 30 ст3пс,Швеллер стальной горячекатаный №30 ст3пс ГОСТ 8240-97,metals,т,ГОСТ 8240-97,56000,"{""steel_grade"": ""3пс"", ""size_no"": ""30"", ""type"": ""shveller""}"
MET-ARM-A500C-8,Арматура А500С d8,Арматура стальная рифлёная А500С диам.8 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,46800,"{""class"": ""A500C"", ""diameter_mm"": 8}"
