name,inn,ogrn,category,subcategory,email,phone,website,region,city,min_order_rub,delivery_days,rating,verified
ООО «Комус-Комплект»,7706202481,1027700032451,mro,"канцтовары, офисные принадлежности",sales@komus.ru,+7 (495) 777-09-09,komus.ru,Москва,Москва,5000,2,4.8,True
ООО «Офисмаг»,7733663498,1077760432515,mro,"канцтовары, мебель офисная",opt@officemag.ru,+7 (800) 100-53-83,officemag.ru,Москва,Москва,3000,3,4.6,True
ООО «Бюрократ»,7701384295,1047797025648,mro,"расходные материалы, бумага",zakaz@brkt.ru,+7 (495) 649-81-87,brkt.ru,Москва,Москва,2000,2,4.5,True
ООО «Лайма Профессионал»,7714673208,1067746683174,mro,"моющие средства, гигиена, клининг",sales@laima-prof.ru,+7 (495) 150-60-40,laima-prof.ru,Москва,Москва,10000,3,4.4,True
ООО «СнабМастер»,6658321098,1106658009876,mro,"инструмент, крепёж, СИЗ",info@snabmaster.ru,+7 (343) 384-15-20,snabmaster.ru,Свердловская область,Екатеринбург,15000,5,4.3,True
ООО «ТехноПарк Снаб»,7804567890,1127804567890,mro,"электроинструмент, метизы",sales@tp-snab.ru,+7 (812) 600-45-33,tp-snab.ru,Санкт-Петербург,Санкт-Петербург,20000,4,4.2,True
ООО «Гарант-Сервис»,5408123456,1155408123456,mro,"спецодежда, СИЗ, перчатки",opt@garant-siz.ru,+7 (383) 230-50-50,garant-siz.ru,Новосибирская область,Новосибирск,8000,5,4.5,True
ООО «РусИнвест СИЗ»,1655123456,1161655012345,mro,средства индивидуальной защиты,zakaz@rusinvest-siz.ru,+7 (843) 200-30-40,rusinvest-siz.ru,Татарстан,Казань,12000,4,4.3,False
ООО «Актив-Снаб»,2312345678,1182312345678,mro,"хозтовары, упаковка, плёнка",zakup@activ-snab.ru,+7 (861) 210-90-00,activ-snab.ru,Краснодарский край,Краснодар,5000,4,4.1,True
ООО «ПромСтрой Комплект»,0274123456,1190274012345,mro,"крепёж промышленный, расходники",opt@psk-ufa.ru,+7 (347) 251-30-30,psk-ufa.ru,Башкортостан,Уфа,10000,5,4.0,True
ООО «ОЛДИ»,7729351760,1027700134581,it,"серверы, рабочие станции, комплектующие",corp@oldi.ru,+7 (495) 995-55-55,oldi.ru,Москва,Москва,50000,3,4.7,True
